School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,lat,lon
University of Wyoming (UW),Western,"$44,500.00","$78,700.00","$41,500.00","$54,000.00","$105,000.00","$145,000.00",41.3147319,-105.5680787
Utah State University,Western,"$43,800.00","$78,700.00","$41,600.00","$55,400.00","$101,000.00","$132,000.00",41.7527021,-111.80873114532977
University of Oregon,Western,"$42,200.00","$78,400.00","$38,100.00","$56,200.00","$117,000.00","$186,000.00",44.04441965,-123.0717596399065
Montana State University - Bozeman,Western,"$46,600.00","$77,500.00","$40,200.00","$58,100.00","$111,000.00","$151,000.00",45.66381885,-111.07930568352012
Gonzaga University,Western,"$44,900.00","$76,000.00","$47,000.00","$57,400.00","$103,000.00","$138,000.00",47.666263400000005,-117.4030665711268
University of Hawaii,Western,"$43,800.00","$76,000.00","$40,400.00","$56,300.00","$104,000.00","$128,000.00",21.3320662,-157.9218882
Western Washington University,Western,"$42,700.00","$75,400.00","$41,300.00","$56,700.00","$99,200.00","$119,000.00",48.734140999999994,-122.48746401919874
Regis University,Western,"$48,300.00","$73,800.00","$41,000.00","$55,500.00","$94,800.00","$117,000.00",39.789711100000005,-105.03136946717461
Idaho State University,Western,"$44,900.00","$73,400.00","$35,400.00","$49,600.00","$101,000.00","$143,000.00",42.86256695,-112.43216272585818
"University of Alaska, Anchorage",Western,"$45,900.00","$72,600.00","$39,800.00","$56,600.00","$99,300.00","$137,000.00",61.19037895,-149.82232541071522
Lewis & Clark College,Western,"$38,900.00","$72,600.00","$38,200.00","$53,400.00","$104,000.00","$140,000.00",45.44850495,-122.67003839290959
University of Montana,Western,"$37,300.00","$71,900.00","$37,000.00","$51,500.00","$96,400.00","$138,000.00",46.8546101,-113.96552386834699
"University of Nevada, Las Vegas (UNLV)",Western,"$45,200.00","$71,600.00","$39,000.00","$52,400.00","$100,000.00","$128,000.00",36.10782625,-115.14186111825259
Portland State University (PSU),Western,"$42,600.00","$70,900.00","$40,700.00","$52,300.00","$94,400.00","$123,000.00",45.5122201,-122.6821135
Eastern Washington University,Western,"$38,600.00","$70,900.00","$36,000.00","$50,500.00","$93,100.00","$117,000.00",47.4915232,-117.58586751653681
Fort Lewis College,Western,"$42,000.00","$69,800.00",,"$55,000.00","$94,000.00",,37.27719755,-107.86763004941912
Boise State University (BSU),Western,"$40,800.00","$69,500.00","$37,400.00","$48,700.00","$87,500.00","$110,000.00",43.6041412,-116.20330587169997
Utah Valley State College,Western,"$42,400.00","$67,100.00",,"$44,100.00","$84,900.00",,40.27941055,-111.71788683218048
Evergreen State College,Western,"$39,500.00","$63,900.00","$38,800.00","$47,200.00","$91,600.00","$120,000.00",47.256489450000004,-122.45456224537094
Southern Utah University,Western,"$41,900.00","$56,500.00",,"$39,700.00","$78,400.00",,37.67529935,-113.07318396996399
Montana State University - Billings,Western,"$37,900.00","$50,600.00",,"$31,800.00","$78,500.00",,45.797005,-108.52155824759748
University of Notre Dame,Midwestern,"$56,300.00","$116,000.00","$66,400.00","$85,100.00","$163,000.00","$235,000.00",41.704567749999995,-86.23822026017265
University Of Chicago,Midwestern,"$53,400.00","$113,000.00","$62,200.00","$83,300.00","$174,000.00","$255,000.00",41.79139685,-87.60084387193544
Carleton College,Midwestern,"$47,500.00","$103,000.00",,"$69,400.00","$141,000.00",,44.47183535,-93.14145805901515
